indice,dobra,prob_defeito,nivel_previsto,confianca_classificador,alfa_previsto,alfa_inferior,alfa_superior,score_dominio,coerencia_visual,arquivo,condicao,alfa,campanha
40,b3,0.9415383596563289,1,0.9831602226577629,0.08172370991584754,0.05524062690087772,0.10820679293081736,0.9366200466280844,0.8475959502626671,p2019.bmp,SC80,0.13333333333333333,B
41,b3,0.9646771077476907,1,0.9982947312239644,0.1274040053522445,0.10092092233727468,0.15388708836721432,0.8406177000609111,0.7605766263956305,p2020.bmp,SC80,0.13333333333333333,B
42,b3,0.9662975825981465,1,0.9932856658377697,0.15089455541989605,0.12441147240492623,0.17737763843486587,0.8566755524844542,0.8399059783292816,p2021.bmp,SC80,0.13333333333333333,B
43,b4,0.9311825239986493,1,0.9655477350755695,0.14048395197307167,0.11386739825945208,0.16710050568669127,0.791591500312637,0.7708983733676125,p2022.bmp,SC80,0.13333333333333333,B
44,b4,0.9683281923158708,1,0.9814480104878073,0.1646949186583418,0.1380783649447222,0.1913114723719614,0.9561907717032411,0.8204001063510862,p2023.bmp,SC80,0.13333333333333333,B
45,b4,0.9518100654309327,1,0.9712577865230231,0.14352828564288828,0.11691173192926868,0.17014483935650787,1.0133543353461956,0.8706518705035288,p2024.bmp,SC80,0.13333333333333333,B
46,b4,0.9795334308719865,1,0.9769079568751838,0.17439557335447559,0.147779019640856,0.20101212706809518,0.9839700011966677,0.7081640206469223,p2025.bmp,SC80,0.13333333333333333,B
47,b4,0.893814677938031,1,0.9666816685396356,0.12063717696024695,0.09402062324662736,0.14725373067386655,0.992496675230253,0.8519313188668737,p2026.bmp,SC80,0.13333333333333333,B
48,b0,0.9737117304385622,2,0.7184546499085602,0.2830172585641594,0.25302016894457535,0.3130143481837434,0.8404014707258701,0.8831868529102767,p3027.bmp,SC160,0.26666666666666666,B
49,b0,0.9642145972891647,2,0.8223810852542216,0.2753628432396891,0.2453657536201051,0.30535993285927315,0.7604985122725862,0.8125095204397642,p3028.bmp,SC160,0.26666666666666666,B
50,b0,0.9363349893618932,2,0.7372184093887957,0.2564021789426247,0.22640508932304065,0.2863992685622087,0.6978192665230653,0.9048246578356551,p3029.bmp,SC160,0.26666666666666666,B
51,b0,0.9315185866096625,2,0.8360508868130309,0.25495339110212917,0.22495630148254514,0.2849504807217132,0.6380878887808205,0.9228874807639175,p3030.bmp,SC160,0.26666666666666666,B
52,b0,0.9673565083406932,2,0.8314564333682055,0.2784566070204472,0.2484595174008632,0.30845369664003125,0.6061982437169942,0.8254208980798066,p3031.bmp,SC160,0.26666666666666666,B
53,b0,0.9650624416739543,2,0.8791824001176972,0.2734111741927134,0.24341408457312935,0.3034082638122974,0.5234505281472346,0.86998593870404,p3032.bmp,SC160,0.26666666666666666,B
54,b0,0.9460503591414722,2,0.8611441687050911,0.2681111942912811,0.23811410467169708,0.29810828391086514,0.5768561690614392,0.9145902774627441,p3033.bmp,SC160,0.26666666666666666,B
55,b1,0.9426899364344544,2,0.991102009606217,0.24606652343630464,0.21221478098112256,0.2799182658914867,0.6558626290350427,0.9458278281715798,p3034.bmp,SC160,0.26666666666666666,B
56,b1,0.8977255809316746,2,0.9803321302305558,0.2658955718718789,0.23204382941669682,0.299747314327061,0.6666096449972039,0.9050556509895558,p3035.bmp,SC160,0.26666666666666666,B
57,b1,0.944907957816437,2,0.9810244974832621,0.2644262043029751,0.230574461847793,0.29827794675815716,0.6203185107454742,0.9768271576417201,p3036.bmp,SC160,0.26666666666666666,B
58,b1,0.9397954167421676,2,0.9900851093845171,0.262077438175589,0.2282256957204069,0.29592918063077106,0.5827950318301027,0.9161713413691629,p3037.bmp,SC160,0.26666666666666666,B
59,b1,0.9448976063544438,2,0.9920569505212821,0.26637821531203293,0.23252647285685085,0.300229957767215,0.6158515265648321,0.8872535991237889,p3038.bmp,SC160,0.26666666666666666,B
60,b1,0.9508520680551574,2,0.9839779831738172,0.25669219007992594,0.22284044762474386,0.290543932535108,0.5982566553809499,0.9229069703579204,p3039.bmp,SC160,0.26666666666666666,B
61,b2,0.9537958951243919,2,0.9831802533794372,0.26026170733295345,0.23311787445636872,0.2874055402095382,0.5041954175673662,0.8614777602133187,p3040.bmp,SC160,0.26666666666666666,B
62,b2,0.9458584390185303,2,0.919368816287521,0.258702189069861,0.23155835619327625,0.2858460219464457,0.6427106564732853,0.8455954860376788,p3041.bmp,SC160,0.26666666666666666,B
63,b2,0.9612759974662193,2,0.9957389633273263,0.28458239889501,0.2574385660184253,0.31172623177159475,0.6055300033200868,0.7711787452649402,p3042.bmp,SC160,0.26666666666666666,B
64,b2,0.9858084738969701,2,0.9922524636061818,0.2699736042541428,0.24282977137755807,0.2971174371307275,0.7270480085325483,0.9254274113578886,p3043.bmp,SC160,0.26666666666666666,B
65,b2,0.9742535175614346,2,0.9954763943636125,0.2956250618931565,0.2684812290165718,0.32276889476974124,0.7548602223510001,0.8314294013861053,p3044.bmp,SC160,0.26666666666666666,B
66,b2,0.9898830083516071,2,0.9939272270770408,0.3163741288151435,0.28923029593855876,0.3435179616917282,0.7148824238001837,0.8561625213169719,p3045.bmp,SC160,0.26666666666666666,B
67,b3,0.9752451979699378,2,0.988426562453095,0.24236191252802208,0.21587882951305226,0.2688449955429919,0.67178774700741,0.9389045055702924,p3046.bmp,SC160,0.26666666666666666,B
68,b3,0.9611080956409478,2,0.9879622619882259,0.2389671905690527,0.21248410755408287,0.2654502735840225,0.7855835272636583,0.8811047103178751,p3047.bmp,SC160,0.26666666666666666,B
69,b3,0.9796937302362915,2,0.9805829574132119,0.27964459003378384,0.253161507018814,0.30612767304875366,0.7763439453307647,0.838772324822745,p3048.bmp,SC160,0.26666666666666666,B
70,b3,0.9689765830424566,2,0.9932974745911992,0.23527285553155025,0.20878977251658043,0.2617559385465201,0.6878323943034923,0.7364924532229711,p3049.bmp,SC160,0.26666666666666666,B
71,b3,0.9740702698253296,2,0.9946013094086877,0.2324723253264927,0.20598924231152288,0.2589554083414625,0.716966276477552,0.9244984349136154,p3050.bmp,SC160,0.26666666666666666,B
72,b3,0.9807130919500218,2,0.9935049606968568,0.26137148184609693,0.2348883988311271,0.28785456486106675,0.7678096602519568,0.9447622863352545,p3051.bmp,SC160,0.26666666666666666,B
73,b4,0.9684386547753641,2,0.9431736712047111,0.252106328798923,0.22548977508530338,0.27872288251254257,0.5446767951794665,0.8987866549854719,p3052.bmp,SC160,0.26666666666666666,B
74,b4,0.9559266713636054,2,0.9544138131848215,0.2746205718654797,0.24800401815186013,0.3012371255790993,0.7042835657987276,0.7401373889352875,p3053.bmp,SC160,0.26666666666666666,B
75,b4,0.9173551982402804,2,0.9414699503510046,0.2516865119832647,0.2250699582696451,0.2783030656968843,0.6886191863761734,0.7547631240739933,p3054.bmp,SC160,0.26666666666666666,B
76,b4,0.9529953282188081,2,0.9005125301543726,0.2649938290513962,0.23837727533777658,0.2916103827650158,0.7490582989576381,0.7977400699690356,p3055.bmp,SC160,0.26666666666666666,B
77,b4,0.9790471546290005,2,0.8904351235820012,0.3098318606031717,0.2832153068895521,0.3364484143167913,0.6734001739939895,0.8117593015109995,p3056.bmp,SC160,0.26666666666666666,B
78,b4,0.94681102003351,2,0.8953759004819365,0.2606226828057628,0.2340061290921432,0.2872392365193824,0.7031027359426719,0.8542929166558991,p3057.bmp,SC160,0.26666666666666666,B
79,b0,0.992888452612803,3,0.8593436843935592,0.4166801822448595,0.38668309262527545,0.4466772718644435,0.6552243685027817,0.9197279568187425,p4001.bmp,SC240,0.4,C
80,b0,0.9928509207135059,3,0.8451176077011182,0.4188428051414539,0.38884571552186986,0.4488398947610379,0.6853427960642351,0.9019782355115186,p4002.bmp,SC240,0.4,C
81,b0,0.9915703402508318,3,0.7829547516530735,0.4184039669501373,0.3884068773305533,0.44840105656972135,0.7324718975023576,0.9428160275145293,p4003.bmp,SC240,0.4,C
82,b0,0.9893140098776448,3,0.6047893315791204,0.41520149740567913,0.3852044077860951,0.44519858702526316,0.6466579801806914,0.9101313974983283,p4004.bmp,SC240,0.4,C
83,b0,0.9846102477723986,3,0.8942334728348958,0.39053222047108266,0.36053513085149863,0.4205293100906667,0.4929943308469413,0.8553226566475323,p4005.bmp,SC240,0.4,C
84,b0,0.9876697443089331,3,0.8773594918592833,0.41487285589484135,0.3848757662752573,0.4448699455144254,0.5333343119150332,0.9104363009464813,p4006.bmp,SC240,0.4,C
85,b1,0.9886273848321718,3,0.9747664511963249,0.41471610963611083,0.38086436718092875,0.4485678520912929,0.46069720866326375,0.911589669923868,p4007.bmp,SC240,0.4,C
86,b1,0.9830580858960436,3,0.9925570837605479,0.4066238446366704,0.3727721021814883,0.44047558709185247,0.4547514553141488,0.9833052462691018,p4008.bmp,SC240,0.4,C
87,b1,0.9909119234555147,3,0.9810362734829752,0.39797070749142766,0.3641189650362456,0.43182244994660973,0.5980342336482922,0.9030582731367556,p4009.bmp,SC240,0.4,C
88,b1,0.9884028227247269,3,0.9622627306566458,0.4058804919729878,0.37202874951780573,0.4397322344281699,0.5403528091332392,0.9223205967030128,p4010.bmp,SC240,0.4,C
89,b1,0.9832495456798985,3,0.9715902064071907,0.4157945458555269,0.3819428034003448,0.44964628831070896,0.4649830138092363,0.973040436337131,p4011.bmp,SC240,0.4,C
90,b2,0.9858341397210351,3,0.9261686010040626,0.4040067764239856,0.37686294354740085,0.4311506093005703,0.5200003693045868,0.9573670416372154,p4012.bmp,SC240,0.4,C
91,b2,0.9926307528158332,3,0.9675227325796342,0.3993146355094351,0.37217080263285035,0.4264584683860198,0.6554914077704085,0.844716296971655,p4013.bmp,SC240,0.4,C
92,b2,0.986546508872821,3,0.9473909919766377,0.3920999585846888,0.3649561257081041,0.41924379146127355,0.5240025501538114,0.8900872622443033,p4014.bmp,SC240,0.4,C
93,b2,0.9884730085561841,3,0.9603425860474534,0.4054755704535195,0.3783317375769348,0.43261940333010424,0.5175564415377308,0.9024863151740157,p4015.bmp,SC240,0.4,C
94,b2,0.978028512972446,3,0.9852512731550169,0.4006973152647211,0.37355348238813635,0.4278411481413058,0.4963590791124465,0.8808412340310948,p4016.bmp,SC240,0.4,C
95,b3,0.9806296911548692,3,0.9840601426695178,0.39636790751378914,0.3698848244988193,0.42285099052875896,0.4471499226057436,0.9020606344000851,p4017.bmp,SC240,0.4,C
96,b3,0.9820253951292066,3,0.9752079638573248,0.3985551200944037,0.37207203707943387,0.4250382031093735,0.410414373493408,0.8722322804389383,p4018.bmp,SC240,0.4,C
97,b3,0.9790324056563932,3,0.9788122937456526,0.40632161140476614,0.3798385283897963,0.43280469441973596,0.4747822603492195,0.8393817774390852,p4019.bmp,SC240,0.4,C
98,b3,0.9852672663624739,3,0.9770421121776675,0.4060364210647275,0.37955333804975766,0.4325195040796973,0.5599217678296597,0.8785340960831086,p4020.bmp,SC240,0.4,C
99,b3,0.9890348341682768,3,0.8090822408086051,0.39590577526461146,0.36942269224964164,0.4223888582795813,0.7352972224479664,0.9191155103013177,p4021.bmp,SC240,0.4,C
100,b4,0.9907027931823558,4,0.4840019798047466,0.4344695866468974,0.4078530329332778,0.461086140360517,0.8351680293384406,0.8750825758051832,p4022.bmp,SC240,0.4,C
101,b4,0.9755611445853235,3,0.7088917154517558,0.3889600968678856,0.362343543154266,0.41557665058150517,0.5022695856090869,0.9284794485165738,p4023.bmp,SC240,0.4,C
102,b4,0.9817903257145991,3,0.719606428506104,0.39622279769561486,0.36960624398199526,0.42283935140923445,0.6022964655861069,0.900695362354443,p4024.bmp,SC240,0.4,C
103,b4,0.9689256620543869,3,0.6753230651033744,0.3951562468078481,0.3685396930942285,0.4217728005214677,0.659079617648517,0.7457766489091876,p4025.bmp,SC240,0.4,C
104,b4,0.9688828182549821,3,0.6927851542923722,0.38721091878449554,0.36059436507087594,0.41382747249811513,0.6226077681459483,0.8656941988791461,p4026.bmp,SC240,0.4,C
105,b0,0.9868167971915689,4,0.7691083110105352,0.5122062921405561,0.4822092025209721,0.5422033817601402,0.5763249155922033,0.9155987977176067,p5027.bmp,SC320,0.5333333333333333,C
106,b0,0.9804400519826767,4,0.8493010405021488,0.5300461776269785,0.5000490880073944,0.5600432672465625,0.45932854918283733,0.9479190516064658,p5028.bmp,SC320,0.5333333333333333,C
107,b0,0.9844885166687735,4,0.8656425059986469,0.5169537012448311,0.48695661162524706,0.5469507908644151,0.4904718643502826,0.9680499520123066,p5029.bmp,SC320,0.5333333333333333,C
108,b0,0.9725906784521905,4,0.8192846876567911,0.5305032539116435,0.5005061642920595,0.5605003435312276,0.48367476411812843,0.9109665443195692,p5030.bmp,SC320,0.5333333333333333,C
109,b0,0.976801574390508,4,0.7043832285085745,0.5288684223266058,0.4988713327070218,0.5588655119461898,0.6116827101866057,0.9192859085366617,p5031.bmp,SC320,0.5333333333333333,C
110,b0,0.9851636709567457,4,0.8618393996684123,0.5157192522137503,0.48572216259416623,0.5457163418333343,0.4884397416306891,0.9217626484084696,p5032.bmp,SC320,0.5333333333333333,C
111,b1,0.9883534370522614,4,0.9476277125985114,0.533701751472077,0.4998500090168949,0.5675534939272591,0.501191286212745,0.911063432656024,p5033.bmp,SC320,0.5333333333333333,C
112,b1,0.9917156552080303,4,0.9674946197081015,0.5380814494583265,0.5042297070031444,0.5719331919135086,0.47739297672454295,0.9309264562227603,p5034.bmp,SC320,0.5333333333333333,C
113,b1,0.9909115444488639,4,0.9666872962934296,0.5330672981028677,0.4992155556476856,0.5669190405580498,0.5029847112028129,0.9193540346640211,p5035.bmp,SC320,0.5333333333333333,C
114,b1,0.9839296089125881,4,0.9859834092809799,0.5380622664902256,0.5042105240350435,0.5719140089454077,0.37488489723132545,0.9609711969506172,p5036.bmp,SC320,0.5333333333333333,C
115,b1,0.9946486103670236,4,0.95308684989356,0.5301964681400526,0.49634472568487054,0.5640482105952347,0.516547889254408,0.8681720934426562,p5037.bmp,SC320,0.5333333333333333,C
116,b2,0.9902294117806053,4,0.8595782545126499,0.5485802412895862,0.5214364084130014,0.5757240741661709,0.6023894017035971,0.885344202713241,p5038.bmp,SC320,0.5333333333333333,C
117,b2,0.9896772578272109,4,0.952080017016771,0.5296791326040204,0.5025352997274357,0.5568229654806052,0.5490415610640236,0.9094727482907752,p5039.bmp,SC320,0.5333333333333333,C
118,b2,0.9911078351041431,4,0.9726868640469166,0.5335014567617917,0.506357623885207,0.5606452896383765,0.5108366669370106,0.9387425607525234,p5040.bmp,SC320,0.5333333333333333,C
119,b2,0.9834424717249218,4,0.972800043618582,0.5395500911677554,0.5124062582911707,0.5666939240443402,0.4356080575056329,0.9248560005499905,p5041.bmp,SC320,0.5333333333333333,C
120,b2,0.9900366865328939,4,0.9170685622509979,0.5400876042735494,0.5129437713969647,0.5672314371501341,0.5610321656959434,0.8853143474327382,p5042.bmp,SC320,0.5333333333333333,C
121,b3,0.9925750268494933,4,0.996542175549798,0.5346775112606794,0.5081944282457096,0.5611605942756492,0.43626339190202545,0.9174573608473111,p5043.bmp,SC320,0.5333333333333333,C
122,b3,0.9906253327015823,4,0.9434535539069686,0.5215871162044995,0.49510403318952967,0.5480701992194693,0.44583767352908094,0.8447263178228879,p5044.bmp,SC320,0.5333333333333333,C
123,b3,0.984745456692802,4,0.931350052456953,0.4887107251493494,0.46222764213437956,0.5151938081643193,0.8518515331495441,0.8744474049400136,p5045.bmp,SC320,0.5333333333333333,C
124,b3,0.9896159452167738,4,0.9499614176377982,0.5526261130458715,0.5261430300309017,0.5791091960608413,0.7938073903597377,0.8050557541084044,p5046.bmp,SC320,0.5333333333333333,C
125,b3,0.9929876323533381,4,0.9668312224884366,0.5512680197106781,0.5247849366957082,0.5777511027256479,0.9392593955106602,0.7793486613232264,p5047.bmp,SC320,0.5333333333333333,C
126,b4,0.995043865705854,4,0.5413390503159458,0.5539181939882365,0.5273016402746169,0.5805347477018561,0.710332663507566,0.9361117636526001,p5048.bmp,SC320,0.5333333333333333,C
127,b4,0.9843120872212618,4,0.511754864124499,0.5348205706970924,0.5082040169834728,0.561437124410712,0.5536706546152941,0.9322904800255778,p5049.bmp,SC320,0.5333333333333333,C
128,b4,0.9908130909348303,4,0.5133763999466557,0.517395251440802,0.4907786977271824,0.5440118051544216,0.8037429605819817,0.6471030799181516,p5050.bmp,SC320,0.5333333333333333,C
129,b4,0.9932244207385303,4,0.7231722319509277,0.5590326268529887,0.5324160731393691,0.5856491805666083,0.5437954612768763,0.8567675767926554,p5051.bmp,SC320,0.5333333333333333,C
130,b4,0.9913923815159514,4,0.6314846127612872,0.5482149677827409,0.5215984140691213,0.5748315214963605,0.5727780794070692,0.8665247332266618,p5052.bmp,SC320,0.5333333333333333,C
131,b0,0.957868892383583,5,0.6827076517220003,0.6643681025049332,0.6343710128853491,0.6943651921245172,0.633311462599536,0.8834325140114925,p6001.bmp,SC400,0.6666666666666666,D
132,b0,0.9657854688457059,5,0.34421433622485903,0.6257589990831808,0.5957619094635968,0.6557560887027648,0.74530786004796,0.8175092504887264,p6002.bmp,SC400,0.6666666666666666,D
133,b0,0.9616431663023338,6,0.41608679979040086,0.6421088937134515,0.6121118040938675,0.6721059833330355,0.7019904881644371,0.8341692255504366,p6003.bmp,SC400,0.6666666666666666,D
134,b0,0.9607922830613648,6,0.40437590925978717,0.635212990722499,0.605215901102915,0.6652100803420831,0.7867685090370655,0.8212599603417851,p6004.bmp,SC400,0.6666666666666666,D
135,b0,0.963737264807967,6,0.3786770754149435,0.6343537306510961,0.6043566410315121,0.6643508202706802,0.7736112169239941,0.7760771788295647,p6005.bmp,SC400,0.6666666666666666,D
136,b1,0.9675058625425276,5,0.9511518322097443,0.6528476506197419,0.6189959081645598,0.686699393074924,0.5767038028275261,0.7767407509204709,p6006.bmp,SC400,0.6666666666666666,D
137,b1,0.9686436457819788,5,0.9496942254903291,0.6569561604535921,0.62310441799841,0.6908079029087741,0.5488506088276505,0.9049469806372304,p6007.bmp,SC400,0.6666666666666666,D
138,b1,0.9815995618089727,5,0.9897406111828337,0.6660472643545485,0.6321955218993665,0.6998990068097306,0.46287647975718443,0.8981140507799629,p6008.bmp,SC400,0.6666666666666666,D
139,b1,0.9923490476283808,5,0.9769007716054335,0.6574217284586129,0.6235699860034308,0.691273470913795,0.5167658057730562,0.9684470519161489,p6009.bmp,SC400,0.6666666666666666,D
140,b1,0.9860867031008693,5,0.9914314341317925,0.6583506753743905,0.6244989329192084,0.6922024178295726,0.4467463230475961,0.9866366203999405,p6010.bmp,SC400,0.6666666666666666,D
141,b2,0.9872671783884449,5,0.9785508957047768,0.6648234980217886,0.6376796651452039,0.6919673308983734,0.49103502547827954,0.8631329368099884,p6011.bmp,SC400,0.6666666666666666,D
142,b2,0.9923076595360274,5,0.9655494566957408,0.6818449696691826,0.6547011367925979,0.7089888025457673,0.5928482262992317,0.8169216762317654,p6012.bmp,SC400,0.6666666666666666,D
143,b2,0.9903498198432612,5,0.9945973155929942,0.6753991158873709,0.6482552830107862,0.7025429487639556,0.4435302405376125,0.8391082043136125,p6013.bmp,SC400,0.6666666666666666,D
144,b2,0.9776759643977104,5,0.9639758600925632,0.657263593930188,0.6301197610536032,0.6844074268067727,0.6808936089369464,0.8483027187349789,p6014.bmp,SC400,0.6666666666666666,D
145,b2,0.981250674231726,5,0.9874814367517116,0.6510049807000935,0.6238611478235088,0.6781488135766782,0.49474252976753924,0.8456314759706491,p6015.bmp,SC400,0.6666666666666666,D
146,b3,0.990593308492503,5,0.995936980120945,0.6620488891143552,0.6355658060993854,0.688531972129325,0.45045591311185,0.8039859195380233,p6016.bmp,SC400,0.6666666666666666,D
147,b3,0.9917269503121396,5,0.9893796861724345,0.6667649432563264,0.6402818602413566,0.6932480262712962,0.43931642744282223,0.8052761804542329,p6017.bmp,SC400,0.6666666666666666,D
148,b3,0.9883410582467538,5,0.9935618427937567,0.6634392332912806,0.6369561502763108,0.6899223163062504,0.48687266951088487,0.8346947035515394,p6018.bmp,SC400,0.6666666666666666,D
149,b3,0.9913199682296895,5,0.9890823278045151,0.6800449053817128,0.653561822366743,0.7065279883966826,0.5376279260886684,0.818336123822425,p6019.bmp,SC400,0.6666666666666666,D
150,b3,0.987500673866169,5,0.9893669853614983,0.6546148451949593,0.6281317621799895,0.6810979282099291,0.4916539954276812,0.8136292368883987,p6020.bmp,SC400,0.6666666666666666,D
151,b4,0.9817511638201546,5,0.8376921429230622,0.6648537192380088,0.6382371655243892,0.6914702729516284,0.5923362018451876,0.9142925299445356,p6021.bmp,SC400,0.6666666666666666,D
152,b4,0.9697713774108978,5,0.7060382092512276,0.6358230526922494,0.6092064989786298,0.662439606405869,0.8280657005743743,0.7793423163208818,p6022.bmp,SC400,0.6666666666666666,D
