arquivo,backend,aprovado,falhas,alertas,recomendacao
p5050.bmp,deterministico,True,0,0,intermediaria
p5051.bmp,deterministico,True,0,0,intermediaria
p5052.bmp,deterministico,True,0,0,intermediaria
p6001.bmp,deterministico,True,0,0,elevada
p6002.bmp,deterministico,True,0,0,elevada
p6003.bmp,deterministico,True,0,0,elevada
p6004.bmp,deterministico,True,0,0,elevada
p6005.bmp,deterministico,True,0,0,elevada
p6006.bmp,deterministico,True,0,0,elevada
p6007.bmp,deterministico,True,0,0,elevada
p6008.bmp,deterministico,True,0,0,elevada
p6009.bmp,deterministico,True,0,0,elevada
p6010.bmp,deterministico,True,0,0,elevada
p6011.bmp,deterministico,True,0,0,elevada
p6012.bmp,deterministico,True,0,0,elevada
p6013.bmp,deterministico,True,0,0,elevada
p6014.bmp,deterministico,True,0,0,elevada
p6015.bmp,deterministico,True,0,0,elevada
p6016.bmp,deterministico,True,0,0,elevada
p6017.bmp,deterministico,True,0,0,elevada
p6018.bmp,deterministico,True,0,0,elevada
p6019.bmp,deterministico,True,0,0,elevada
p6020.bmp,deterministico,True,0,0,elevada
p6021.bmp,deterministico,True,0,0,elevada
p6022.bmp,deterministico,True,0,0,elevada
p6023.bmp,deterministico,True,0,0,elevada
p6024.bmp,deterministico,True,0,0,elevada
p6025.bmp,deterministico,True,0,0,elevada
p7026.bmp,deterministico,True,0,0,elevada
p7027.bmp,deterministico,True,0,0,elevada
p7028.bmp,deterministico,True,0,0,elevada
p7029.bmp,deterministico,True,0,0,elevada
p7030.bmp,deterministico,True,0,0,elevada
p7031.bmp,deterministico,True,0,0,elevada
p7032.bmp,deterministico,True,0,0,elevada
p7033.bmp,deterministico,True,0,0,elevada
p7034.bmp,deterministico,True,0,0,elevada
p7035.bmp,deterministico,True,0,0,elevada
p7036.bmp,deterministico,True,0,0,elevada
p7037.bmp,deterministico,True,0,0,elevada
p7038.bmp,deterministico,True,0,0,elevada
p7039.bmp,deterministico,True,0,0,elevada
p7040.bmp,deterministico,True,0,0,elevada
p7041.bmp,deterministico,True,0,0,elevada
p7042.bmp,deterministico,True,0,0,elevada
p7043.bmp,deterministico,True,0,0,elevada
p7044.bmp,deterministico,True,0,0,elevada
p7045.bmp,deterministico,True,0,0,elevada
p7046.bmp,deterministico,True,0,0,elevada
p7047.bmp,deterministico,True,0,0,elevada
p7048.bmp,deterministico,True,0,0,elevada
p7049.bmp,deterministico,True,0,0,elevada
p7050.bmp,deterministico,True,0,0,elevada
p7051.bmp,deterministico,True,0,0,elevada
p7052.bmp,deterministico,True,0,0,elevada
p8053.bmp,deterministico,True,0,0,elevada
p8054.bmp,deterministico,True,0,0,elevada
p8055.bmp,deterministico,True,0,0,elevada
p8056.bmp,deterministico,True,0,0,elevada
p8057.bmp,deterministico,True,0,0,elevada
p8058.bmp,deterministico,True,0,0,elevada
p8059.bmp,deterministico,True,0,0,elevada
p8060.bmp,deterministico,True,0,0,elevada
p8061.bmp,deterministico,True,0,0,elevada
p8062.bmp,deterministico,True,0,0,elevada
p8063.bmp,deterministico,True,0,0,elevada
p8064.bmp,deterministico,True,0,0,elevada
p8065.bmp,deterministico,True,0,0,elevada
p8066.bmp,deterministico,True,0,0,elevada
p8067.bmp,deterministico,True,0,0,elevada
p8068.bmp,deterministico,True,0,0,elevada
p8069.bmp,deterministico,True,0,0,elevada
p8070.bmp,deterministico,True,0,0,elevada
p8071.bmp,deterministico,True,0,0,elevada
p8072.bmp,deterministico,True,0,0,elevada
p8073.bmp,deterministico,True,0,0,elevada
p8074.bmp,deterministico,True,0,0,elevada
p8075.bmp,deterministico,True,0,0,elevada
p8076.bmp,deterministico,True,0,0,elevada
p8077.bmp,deterministico,True,0,0,elevada
p8078.bmp,deterministico,True,0,0,elevada
p8079.bmp,deterministico,True,0,0,elevada
p8080.bmp,deterministico,True,0,0,elevada
p8081.bmp,deterministico,True,0,0,elevada
p8082.bmp,deterministico,True,0,0,elevada
p8083.bmp,deterministico,True,0,0,elevada
p8084.bmp,deterministico,True,0,0,elevada
p9085.bmp,deterministico,True,0,0,elevada
p9086.bmp,deterministico,True,0,0,elevada
p9087.bmp,deterministico,True,0,0,elevada
p9088.bmp,deterministico,True,0,0,elevada
p9089.bmp,deterministico,True,0,0,elevada
p9090.bmp,deterministico,True,0,0,elevada
p9091.bmp,deterministico,True,0,0,elevada
p9092.bmp,deterministico,True,0,0,elevada
p9093.bmp,deterministico,True,0,0,elevada
p9094.bmp,deterministico,True,0,0,elevada
p9095.bmp,deterministico,True,0,0,elevada
p9096.bmp,deterministico,True,0,0,elevada
p9097.bmp,deterministico,True,0,0,elevada
p9098.bmp,deterministico,True,0,0,elevada
p9099.bmp,deterministico,True,0,0,elevada
p9100.bmp,deterministico,True,0,0,elevada
p9101.bmp,deterministico,True,0,0,elevada
p9102.bmp,deterministico,True,0,0,elevada
p9103.bmp,deterministico,True,0,0,elevada
p9104.bmp,deterministico,True,0,0,elevada
p9105.bmp,deterministico,True,0,0,elevada
p9106.bmp,deterministico,True,0,0,elevada
p9107.bmp,deterministico,True,0,0,elevada
p9108.bmp,deterministico,True,0,0,elevada
p9109.bmp,deterministico,True,0,0,elevada
p9110.bmp,deterministico,True,0,0,elevada
p9111.bmp,deterministico,True,0,0,elevada
p9112.bmp,deterministico,True,0,0,elevada
p9113.bmp,deterministico,True,0,0,elevada
p9114.bmp,deterministico,True,0,0,elevada
p9115.bmp,deterministico,True,0,0,elevada
p9116.bmp,deterministico,True,0,0,elevada
p9117.bmp,deterministico,True,0,0,elevada
p9118.bmp,deterministico,True,0,0,elevada
p9119.bmp,deterministico,True,0,0,elevada
p9120.bmp,deterministico,True,0,0,elevada
p9121.bmp,deterministico,True,0,0,elevada
p9122.bmp,deterministico,True,0,0,elevada
p9123.bmp,deterministico,True,0,0,elevada
p9124.bmp,deterministico,True,0,0,elevada
