file,folder,filename,condition,turns_short,alpha,severity_level,width,height,mode,sha256
Dataset\IR_trans_bmp\p3_160\p3051.bmp,p3_160,p3051.bmp,SC160,160,0.26666666666666666,2,320,240,RGB,8aebf48159a57598ed8ee13005d6370c05f26f74a2b618ee28562b3d4932f940
Dataset\IR_trans_bmp\p3_160\p3052.bmp,p3_160,p3052.bmp,SC160,160,0.26666666666666666,2,320,240,RGB,66f1df4a604fc14ef60afe8ee5592dfb0079093ee5c9279e2783193689f07909
Dataset\IR_trans_bmp\p3_160\p3053.bmp,p3_160,p3053.bmp,SC160,160,0.26666666666666666,2,320,240,RGB,2252442bd1ac2a1ab861f9f914ca41864eae68905669d0a234ba45631a1df21f
Dataset\IR_trans_bmp\p3_160\p3054.bmp,p3_160,p3054.bmp,SC160,160,0.26666666666666666,2,320,240,RGB,9c737d6dfb1424c3971057505f869a59b22f4253f32e79e709c94d1f13717893
Dataset\IR_trans_bmp\p3_160\p3055.bmp,p3_160,p3055.bmp,SC160,160,0.26666666666666666,2,320,240,RGB,e972559c0c36e07fdbd83ea6407d533eeaad416fced9550ab3193a434740cd4f
Dataset\IR_trans_bmp\p3_160\p3056.bmp,p3_160,p3056.bmp,SC160,160,0.26666666666666666,2,320,240,RGB,f3aceac590d49ff982555fea567a676e18a47219f9e513e8060dae1b66f6d007
Dataset\IR_trans_bmp\p3_160\p3057.bmp,p3_160,p3057.bmp,SC160,160,0.26666666666666666,2,320,240,RGB,25d2eed648647f396496e4d6d1887186d2f1e881864d748214edec680960b2ae
Dataset\IR_trans_bmp\p4_240\p4001.bmp,p4_240,p4001.bmp,SC240,240,0.4,3,320,240,RGB,622e81ca04776b3069e1006ff65a078a1b53835f9da46e238dd18488ffbf96a5
Dataset\IR_trans_bmp\p4_240\p4002.bmp,p4_240,p4002.bmp,SC240,240,0.4,3,320,240,RGB,cca5685667c24c610a2fe29ff621247fbad88f2b0710d83dfc178caad42f9809
Dataset\IR_trans_bmp\p4_240\p4003.bmp,p4_240,p4003.bmp,SC240,240,0.4,3,320,240,RGB,db710d52d01af0177a60a8741a18ef3cf4ceeb859df919f19d86bd98995ecce9
Dataset\IR_trans_bmp\p4_240\p4004.bmp,p4_240,p4004.bmp,SC240,240,0.4,3,320,240,RGB,7b427b7e4a828cbc3929dc94cc72970e9cd48135d267578af5e4f9994cb3f5c8
Dataset\IR_trans_bmp\p4_240\p4005.bmp,p4_240,p4005.bmp,SC240,240,0.4,3,320,240,RGB,cb83868565f0c9f31ccf8721a9d9737f3e9458e15ac54b2798002a99e9c73c22
Dataset\IR_trans_bmp\p4_240\p4006.bmp,p4_240,p4006.bmp,SC240,240,0.4,3,320,240,RGB,e81358ec630bf56f36e2f494925f66b5c51e13ef1780a423139bf54e5826af90
Dataset\IR_trans_bmp\p4_240\p4007.bmp,p4_240,p4007.bmp,SC240,240,0.4,3,320,240,RGB,9262e4874a999c23c4c9acae161bb2c7946689c380c2a11bfc6649bd36af0e95
Dataset\IR_trans_bmp\p4_240\p4008.bmp,p4_240,p4008.bmp,SC240,240,0.4,3,320,240,RGB,2b226307a0f641380fe1e83834b843ef8402f01cde1eec759cd562de81902093
Dataset\IR_trans_bmp\p4_240\p4009.bmp,p4_240,p4009.bmp,SC240,240,0.4,3,320,240,RGB,130714a2f195d027126521c25b6c594c36b9db0816a7133590c998c94506e6c5
Dataset\IR_trans_bmp\p4_240\p4010.bmp,p4_240,p4010.bmp,SC240,240,0.4,3,320,240,RGB,6ad7c75a4f5dfb93e5e104ed460d9e1a28fd476d5b76aab5a684b1ace3e81406
Dataset\IR_trans_bmp\p4_240\p4011.bmp,p4_240,p4011.bmp,SC240,240,0.4,3,320,240,RGB,067e69a27458a2b09488122727f08abcdc2704ada1c774d3600bb507bad3702d
Dataset\IR_trans_bmp\p4_240\p4012.bmp,p4_240,p4012.bmp,SC240,240,0.4,3,320,240,RGB,52cc37041f65707b96c5d9cbcad5b5c39bd613b6d9a6e6c8744363c0d6524fa3
Dataset\IR_trans_bmp\p4_240\p4013.bmp,p4_240,p4013.bmp,SC240,240,0.4,3,320,240,RGB,8ad6003f57fa1fccea1bf55beb9509fbf48e895f0804cede6018c7eeace831ad
Dataset\IR_trans_bmp\p4_240\p4014.bmp,p4_240,p4014.bmp,SC240,240,0.4,3,320,240,RGB,ab2c8bbc3452df893e48ce4aa7c10d687cf43513aefd7f558d43ce0989e31702
Dataset\IR_trans_bmp\p4_240\p4015.bmp,p4_240,p4015.bmp,SC240,240,0.4,3,320,240,RGB,a7d9ae92a1976247ac4886a0eca34a5b379692c7df053a1353fc8503f3d638b9
Dataset\IR_trans_bmp\p4_240\p4016.bmp,p4_240,p4016.bmp,SC240,240,0.4,3,320,240,RGB,9688bdefc2e67d7e2c8d1cf05070515e2421aaf618798c9ae0a09f8544ead0e3
Dataset\IR_trans_bmp\p4_240\p4017.bmp,p4_240,p4017.bmp,SC240,240,0.4,3,320,240,RGB,d3b7c2218c6cd011589bd8ad824396e78be99217e6428cc0601a2ebbb8e55173
Dataset\IR_trans_bmp\p4_240\p4018.bmp,p4_240,p4018.bmp,SC240,240,0.4,3,320,240,RGB,95db78cf38399f1e093447ff906d95d113ba8ec5cef77ca8b2822058528548d2
Dataset\IR_trans_bmp\p4_240\p4019.bmp,p4_240,p4019.bmp,SC240,240,0.4,3,320,240,RGB,e579886360a36330b98150b7755b0dc135cd96b309afb8cacaa5afa7c3e73c72
Dataset\IR_trans_bmp\p4_240\p4020.bmp,p4_240,p4020.bmp,SC240,240,0.4,3,320,240,RGB,6f2fac8d7f9c9fc6748ebcbacace8ba23c19ad88cf8af2cf6773ee0eb0e882e7
Dataset\IR_trans_bmp\p4_240\p4021.bmp,p4_240,p4021.bmp,SC240,240,0.4,3,320,240,RGB,51296f52e2bd56aa561a73b856c4ce915140bb66bd1f0e3903618c8f663cf949
Dataset\IR_trans_bmp\p4_240\p4022.bmp,p4_240,p4022.bmp,SC240,240,0.4,3,320,240,RGB,8ce48e2dcc5ea23281ce8bbd467a767b28244d06f76a84fc8a761a353ca091eb
Dataset\IR_trans_bmp\p4_240\p4023.bmp,p4_240,p4023.bmp,SC240,240,0.4,3,320,240,RGB,e57e11134c6c4c7f5f2492c5e8cbc97d6d105ce513f82062a0684b814ae46186
Dataset\IR_trans_bmp\p4_240\p4024.bmp,p4_240,p4024.bmp,SC240,240,0.4,3,320,240,RGB,de40d5f1f87a2cc805ba9169c6c46914ba8de3fb46d6d0114be0c448b3c15b24
Dataset\IR_trans_bmp\p4_240\p4025.bmp,p4_240,p4025.bmp,SC240,240,0.4,3,320,240,RGB,4ac19587dd29db5a4e17b65f7a45a2b8ac72c869b52d00368dcc4eada0423b7f
Dataset\IR_trans_bmp\p4_240\p4026.bmp,p4_240,p4026.bmp,SC240,240,0.4,3,320,240,RGB,b34b75b2d13782e5774b5a39834569c819a7a4421f9f4f18d9783f4490ffade6
Dataset\IR_trans_bmp\p5_320\p5027.bmp,p5_320,p5027.bmp,SC320,320,0.5333333333333333,4,320,240,RGB,2a9be2ef5b478484613ea951bd1376ef5cdd84646dd99bbc7cdeec23d942d7c3
Dataset\IR_trans_bmp\p5_320\p5028.bmp,p5_320,p5028.bmp,SC320,320,0.5333333333333333,4,320,240,RGB,4aae4dfccd1744adeaa339307ad16ecad9726de2a476d6fa04f84d0d90cf4974
Dataset\IR_trans_bmp\p5_320\p5029.bmp,p5_320,p5029.bmp,SC320,320,0.5333333333333333,4,320,240,RGB,6c14e34245561bcf69db7c171789c9cee62e209d721f5e93054875df8a4071ed
Dataset\IR_trans_bmp\p5_320\p5030.bmp,p5_320,p5030.bmp,SC320,320,0.5333333333333333,4,320,240,RGB,c2bdf01b0790d04797632f561afdf5533d7a34a7d2adac95214bf59a746886fc
Dataset\IR_trans_bmp\p5_320\p5031.bmp,p5_320,p5031.bmp,SC320,320,0.5333333333333333,4,320,240,RGB,53aba05bbe2645d2200ad8df6b829c6423a3973d184195097a4ef91a9046a437
Dataset\IR_trans_bmp\p5_320\p5032.bmp,p5_320,p5032.bmp,SC320,320,0.5333333333333333,4,320,240,RGB,4dae0f2559a65c89518d48b6b204b75b1ebb167cf628472fed87c35ec9be4661
Dataset\IR_trans_bmp\p5_320\p5033.bmp,p5_320,p5033.bmp,SC320,320,0.5333333333333333,4,320,240,RGB,8e8f59b3c4bef407e92f893e2acb1c067709f597768368354ca00321b9e07ace
Dataset\IR_trans_bmp\p5_320\p5034.bmp,p5_320,p5034.bmp,SC320,320,0.5333333333333333,4,320,240,RGB,94deecf594a4e1c2ed8e5d69bb435d9aa86727c675334137c96a288483469ff0
Dataset\IR_trans_bmp\p5_320\p5035.bmp,p5_320,p5035.bmp,SC320,320,0.5333333333333333,4,320,240,RGB,63c8f16cf533988e4d83b91bf4ad16fbb371cbaf5713990261ad33a21b57234e
Dataset\IR_trans_bmp\p5_320\p5036.bmp,p5_320,p5036.bmp,SC320,320,0.5333333333333333,4,320,240,RGB,eff8538bb307271e92a6ed16cc2b1a8410f2c09fbcafc6e88d24fcad877a1308
Dataset\IR_trans_bmp\p5_320\p5037.bmp,p5_320,p5037.bmp,SC320,320,0.5333333333333333,4,320,240,RGB,7e29cd7c0f58bb80a40b7de5d63d5fee57da9c1298138d2eeb2f83967efa7454
Dataset\IR_trans_bmp\p5_320\p5038.bmp,p5_320,p5038.bmp,SC320,320,0.5333333333333333,4,320,240,RGB,c3bf7a27305048fb09007d3fcea025ed5d388711c4abf823c4a85c6b9964fd72
Dataset\IR_trans_bmp\p5_320\p5039.bmp,p5_320,p5039.bmp,SC320,320,0.5333333333333333,4,320,240,RGB,e699404db88d57af2a977c6375a2b8dab8672d9acdc91a5f235f00d6459b5b2c
Dataset\IR_trans_bmp\p5_320\p5040.bmp,p5_320,p5040.bmp,SC320,320,0.5333333333333333,4,320,240,RGB,b6b541700d6132faa8ccfff63f9722543809c2dc08682d8e206e41f3a4548ad1
Dataset\IR_trans_bmp\p5_320\p5041.bmp,p5_320,p5041.bmp,SC320,320,0.5333333333333333,4,320,240,RGB,d490bcdf891cfbc5146ecb1935599205eb95ac0b85794e6f5ae4941d4c256081
Dataset\IR_trans_bmp\p5_320\p5042.bmp,p5_320,p5042.bmp,SC320,320,0.5333333333333333,4,320,240,RGB,950777e5868f2c848c17004a7b2ef77280536ea4d94c3ac462f356dea19f1d6d
Dataset\IR_trans_bmp\p5_320\p5043.bmp,p5_320,p5043.bmp,SC320,320,0.5333333333333333,4,320,240,RGB,5782a020a25bd1d4318e1429147c76df44299fc5e6e2ac80922765c69af8fb1f
Dataset\IR_trans_bmp\p5_320\p5044.bmp,p5_320,p5044.bmp,SC320,320,0.5333333333333333,4,320,240,RGB,ea91064017a653365c6316adedfd735e43d0911f9f7d1122b825ae1e561a1ad6
Dataset\IR_trans_bmp\p5_320\p5045.bmp,p5_320,p5045.bmp,SC320,320,0.5333333333333333,4,320,240,RGB,a46c6c508f5a7e3f1ad38010656f49ec4fb9dbafae2e204ddef6c8ec82c2a638
Dataset\IR_trans_bmp\p5_320\p5046.bmp,p5_320,p5046.bmp,SC320,320,0.5333333333333333,4,320,240,RGB,165fb9e6cb155a2be91eb662bac513c5bee87103abbd38f6adaeaa45bf66b870
Dataset\IR_trans_bmp\p5_320\p5047.bmp,p5_320,p5047.bmp,SC320,320,0.5333333333333333,4,320,240,RGB,598a0197ddef643b3dd9e74d9f4d74bd84d7a30df73146b632666e31d19ccd46
Dataset\IR_trans_bmp\p5_320\p5048.bmp,p5_320,p5048.bmp,SC320,320,0.5333333333333333,4,320,240,RGB,caac11f9172e5ac8a4acdd48186f3466d039b3887bcf9c36afb76d0112154b7c
Dataset\IR_trans_bmp\p5_320\p5049.bmp,p5_320,p5049.bmp,SC320,320,0.5333333333333333,4,320,240,RGB,a6ade9b1d73ad3f971e97b3372255d8cbaa1327c6ef32418b83a6df50dfac1fc
Dataset\IR_trans_bmp\p5_320\p5050.bmp,p5_320,p5050.bmp,SC320,320,0.5333333333333333,4,320,240,RGB,e8a87215aea2a5579d0d18da292e8357cdbeb7e3bf5387392c004fa1fdf18d90
